[train_onemodel - 2018-11-29 00:59:46,145 - INFO] Fully_Supervised_Training  Training starts:
[train_onemodel - 2018-11-29 00:59:57,559 - INFO] at epoch:   0, under train mode, labeled_data dice: 0.273 
[train_onemodel - 2018-11-29 01:00:10,167 - INFO] at epoch:   0, under train mode, unlabeled_data dice: 0.262 
[train_onemodel - 2018-11-29 01:00:12,340 - INFO] at epoch:   0, under train mode, val_data dice: 0.241 
[train_onemodel - 2018-11-29 01:00:15,328 - INFO] at epoch:   0, under eval mode, labeled_data dice: 0.274 
[train_onemodel - 2018-11-29 01:00:26,581 - INFO] at epoch:   0, under eval mode, unlabeled_data dice: 0.264 
[train_onemodel - 2018-11-29 01:00:28,566 - INFO] at epoch:   0, under eval mode, val_data dice: 0.242 
[train_onemodel - 2018-11-29 01:00:42,614 - INFO] at epoch:   1, under train mode, labeled_data dice: 0.000 
[train_onemodel - 2018-11-29 01:00:55,281 - INFO] at epoch:   1, under train mode, unlabeled_data dice: 0.000 
[train_onemodel - 2018-11-29 01:00:57,364 - INFO] at epoch:   1, under train mode, val_data dice: 0.000 
[train_onemodel - 2018-11-29 01:01:00,405 - INFO] at epoch:   1, under eval mode, labeled_data dice: 0.000 
[train_onemodel - 2018-11-29 01:01:11,998 - INFO] at epoch:   1, under eval mode, unlabeled_data dice: 0.000 
[train_onemodel - 2018-11-29 01:01:14,037 - INFO] at epoch:   1, under eval mode, val_data dice: 0.000 
[train_onemodel - 2018-11-29 01:01:27,853 - INFO] at epoch:   2, under train mode, labeled_data dice: 0.000 
[train_onemodel - 2018-11-29 01:01:40,628 - INFO] at epoch:   2, under train mode, unlabeled_data dice: 0.000 
[train_onemodel - 2018-11-29 01:01:42,868 - INFO] at epoch:   2, under train mode, val_data dice: 0.000 
[train_onemodel - 2018-11-29 01:01:45,889 - INFO] at epoch:   2, under eval mode, labeled_data dice: 0.000 
[train_onemodel - 2018-11-29 01:01:57,559 - INFO] at epoch:   2, under eval mode, unlabeled_data dice: 0.000 
[train_onemodel - 2018-11-29 01:01:59,753 - INFO] at epoch:   2, under eval mode, val_data dice: 0.000 
[train_onemodel - 2018-11-29 01:02:13,628 - INFO] at epoch:   3, under train mode, labeled_data dice: 0.433 
[train_onemodel - 2018-11-29 01:02:26,453 - INFO] at epoch:   3, under train mode, unlabeled_data dice: 0.428 
[train_onemodel - 2018-11-29 01:02:28,694 - INFO] at epoch:   3, under train mode, val_data dice: 0.435 
[train_onemodel - 2018-11-29 01:02:31,904 - INFO] at epoch:   3, under eval mode, labeled_data dice: 0.442 
[train_onemodel - 2018-11-29 01:02:43,684 - INFO] at epoch:   3, under eval mode, unlabeled_data dice: 0.447 
[train_onemodel - 2018-11-29 01:02:45,755 - INFO] at epoch:   3, under eval mode, val_data dice: 0.449 
[train_onemodel - 2018-11-29 01:02:59,644 - INFO] at epoch:   4, under train mode, labeled_data dice: 0.709 
[train_onemodel - 2018-11-29 01:03:12,877 - INFO] at epoch:   4, under train mode, unlabeled_data dice: 0.707 
[train_onemodel - 2018-11-29 01:03:15,120 - INFO] at epoch:   4, under train mode, val_data dice: 0.717 
